Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4405,0.987251408,0.071234091,0,0,1
4406,0.987251408,0.149145,0,0,1
4407,0.987251408,0.246340455,0,0,1
4408,0.987251408,0.442694091,0,0,1
4409,0.94871673,0.421314545,0,0,1
4410,0.747276505,0.300749091,0,0,1
4411,0.182407326,0.511809091,0,0,1
4412,0,0.818364091,0,0,1
4413,0,0.878084545,0,0,1
4414,0,0.873293636,0,0,1
4415,0,0.868339091,0,0,1
4416,0,0.850722727,0,0,1
4417,0,0.852940455,0,0,1
4418,0,0.870899545,0,0,1
4419,0,0.745118636,0,0,1
4420,0,0.531378182,0,0,1
4421,0,0.352531818,0,0,1
4422,0.223915727,0.276015,0,0,1
4423,0.535782804,0.078666818,0,0,1
4424,0.268162321,0.053507727,0,0,1
4425,0.63026187,0.059717273,0,0,1
4426,0.975223234,0.045319091,0,0,1
4427,0.987251408,0.017209545,0,0,1
4428,0.987251408,0.010114091,0,0,1
4429,0.987251408,0.035760909,0,0,1
4430,0.987251408,0.11802,0,0,1
4431,0.987251408,0.137469545,0,0,1
4432,0.987251408,0.118500909,0,0,1
4433,0.967749144,0.131092727,0,0,1
4434,0.776092127,0.246162273,0,0,1
4435,0.189813506,0.7106,0,0,1
4436,0,0.823584091,0,0,1
4437,0,0.890649091,0,0,1
4438,0,0.884416364,0,0,1
4439,0,0.877298182,0,0,1
4440,0,0.767077727,0,0,1
4441,0,0.729798182,0,0,1
4442,0,0.681869545,0,0,1
4443,0,0.690910909,0,0,1
4444,0,0.682641364,0,0,1
4445,0,0.635382727,0,0,1
4446,0.201488869,0.658703636,0,0,1
4447,0.577241228,0.476992727,0,0,1
4448,0.833592809,0.25552,0,0,1
4449,0.987251408,0.109502273,0,0,1
4450,0.987251408,0.040635455,0,0,1
4451,0.987251408,0.034945909,0,0,1
4452,0.987251408,0.093021364,0,0,1
4453,0.987251408,0.127700909,0,0,1
4454,0.987251408,0.210071818,0,0,1
